2023-06-01 10:27:51,932 INFO    StreamThr :28532 [internal.py:wandb_internal():86] W&B internal server running at pid: 28532, started at: 2023-06-01 10:27:51.932418
2023-06-01 10:27:51,933 DEBUG   HandlerThread:28532 [handler.py:handle_request():144] handle_request: status
2023-06-01 10:27:51,934 INFO    WriterThread:28532 [datastore.py:open_for_write():85] open: /Users/harshbhatia/Documents/nanoGPT/wandb/run-20230601_102751-p5wcb455/run-p5wcb455.wandb
2023-06-01 10:27:51,935 DEBUG   SenderThread:28532 [sender.py:send():375] send: header
2023-06-01 10:27:51,955 DEBUG   SenderThread:28532 [sender.py:send():375] send: run
2023-06-01 10:27:52,491 INFO    SenderThread:28532 [dir_watcher.py:__init__():219] watching files in: /Users/harshbhatia/Documents/nanoGPT/wandb/run-20230601_102751-p5wcb455/files
2023-06-01 10:27:52,492 INFO    SenderThread:28532 [sender.py:_start_run_threads():1124] run started: p5wcb455 with start time 1685579271.930107
2023-06-01 10:27:52,492 DEBUG   SenderThread:28532 [sender.py:send_request():402] send_request: summary_record
2023-06-01 10:27:52,492 INFO    SenderThread:28532 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-01 10:27:52,496 DEBUG   HandlerThread:28532 [handler.py:handle_request():144] handle_request: check_version
2023-06-01 10:27:52,496 DEBUG   SenderThread:28532 [sender.py:send_request():402] send_request: check_version
2023-06-01 10:27:52,553 DEBUG   HandlerThread:28532 [handler.py:handle_request():144] handle_request: run_start
2023-06-01 10:27:52,559 DEBUG   HandlerThread:28532 [system_info.py:__init__():31] System info init
2023-06-01 10:27:52,559 DEBUG   HandlerThread:28532 [system_info.py:__init__():46] System info init done
2023-06-01 10:27:52,559 INFO    HandlerThread:28532 [system_monitor.py:start():181] Starting system monitor
2023-06-01 10:27:52,559 INFO    SystemMonitor:28532 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-01 10:27:52,560 INFO    HandlerThread:28532 [system_monitor.py:probe():201] Collecting system info
2023-06-01 10:27:52,560 INFO    SystemMonitor:28532 [interfaces.py:start():190] Started cpu monitoring
2023-06-01 10:27:52,560 DEBUG   HandlerThread:28532 [system_info.py:probe():195] Probing system
2023-06-01 10:27:52,561 INFO    SystemMonitor:28532 [interfaces.py:start():190] Started disk monitoring
2023-06-01 10:27:52,561 INFO    SystemMonitor:28532 [interfaces.py:start():190] Started gpuapple monitoring
2023-06-01 10:27:52,563 INFO    SystemMonitor:28532 [interfaces.py:start():190] Started memory monitoring
2023-06-01 10:27:52,564 INFO    SystemMonitor:28532 [interfaces.py:start():190] Started network monitoring
2023-06-01 10:27:52,568 DEBUG   HandlerThread:28532 [system_info.py:_probe_git():180] Probing git
2023-06-01 10:27:52,591 DEBUG   HandlerThread:28532 [system_info.py:_probe_git():188] Probing git done
